	review	rating
0	Really fantastic	5
1	Picture quality good	2
2	I am facing so many issues, saved cantact cannot be serched , double contact	1
3	Overall product is good, only thing phone is lagging dual 4G support. Also moving  pictures and videos are bit average quality.	4
4	The responsiveness of the phone is pathetic....it seems as if the ram is only 1 gb.  ...camera is good.....quality of face recognition is not that good....	2
5	Work properly	5
6	Very good smartphone display pixel very high quality	4
7	I dont listen to music while my phone is charging, so i am completely satisfied with the product	5
8	Lovely	5
9	awesome camera and value for moneyREAD MORE	5
10	very nice	5
11	Nice phone	5
12	At presently i can say that much because in a day i found that much	5
13	Picture quality is superb,  battery life is fine & durability is amazing	5
14	The phone design and model looks good. But the charging it took is like more than 3 hours at times. Don't buy who concern for battery durability. Seriously this is not worth for it. Of course it can standby for a whole day for that you have to charge like more than 3 hours. Overall not suitable for heavy amount of usage.	2
15	Good	4
16	nice one	4
17	Nice good product	5
18	Good mobile ........All are good, battery really lasts upto two days with single charge, no hang issues, camera out door and indoor with adequate lighthing is really good, but low light case it is average only also it takes more time to shutter at night time photography which can be overcome with thirdparty camera apps, audio is little bit low, image has more  noise with zoom, signal strengths are good.,.........READ MORE	5
19	No good I got 15days back it's problem already am not happy with red mi phone	1
20	Takatak	5
21	Amazing camera ...	5
22	Just got my p20 lite after using honor v10, I bought it as a secondary driver and I must say Huawei’s P20 Lite is a good mid range badboy. like how lightweight and elegant it is, and has a very similar premium design to its more expensive P20 siblings. I recommend to those who want elegant look plus lag free performance.	5
23	Nokia is best smooth camera is awesomethe speaker is loudquick chargegood battery backupthe Nokia branding is blackThe phone comes with Gorilla Glass 3awesome Ai cameraREAD MORE	5
24	Phone is ok .....Camera and vedio quality is not good compared to samsung mobile of same specification	3
25	Awesome	5
26	Good quality and very smart	5
27	Mi A2 is best device for me, display is very good , sound quality very loud and clear battery performance is ok....	4
28	Camera quality is worst.	1
29	Heating at time of charging and low battery life	4
30	Heating Issue	3
31	Phone is good	4
32	Very fast delivery,thanks to flipkartREAD MORE	5
33	Very handy and  good quality product in all dimensions	5
34	Awesome mobile. But battery life is not good.	4
35	Not A Good Product, Getting Heated frequently and really horrible in performance. Also, accessories supplied is not good. Already company supplied accessories has gone bad in a month time.	1
36	Nice camera stock Android good experience	3
37	Best in all aspects with premium quality	5
38	Enormous battery life, but shouldn't expect to better camera experience its average,,Rich look and its like a unique feelAnd we can use it in single hand,Honestly its a perfect mobile at this price	4
39	Awesome mobile battery life is great camera is good display quality good looks like a a premium	5
40	Battery is drowning very fast ... Camera is ok...phone is heating ...sound n display is gud... apps opening slowly ... contacts are not opening fastly... got irritating ... overall ok ...	3
41	I love the Xiaomi brand. This phone is quite good as well. Best in the budget.	5
42	Great phone with great price.Display and camara both are superbGreat work done by LG	5
43	"It is overall a good Set but after updating i have to face some ""application error"" problem. I will b thankful if this is resolve soon ."	4
44	Not expected this from Motorola G series.. I'm using moto G4 from past 2 years and the camera for that phone was too good compared to other phones in that time.. With that expectation I bought G6 and the camera is just average or below that.. Can't even keep this for comparison with other phones in the same price range	3
45	Good product	5
46	After usage of one month, Iam giving this review honesty.Thanks to amazon for next day delivery. As soon as I received my mobile, it has a battery problem. whole battery was draining in 2 hours. Amazon replaced my mobile the next day after replacement request. Now Iam giving the review of replaced mobile.Pros:4GB RAM is very good, still 2.5gb is free even after installing heavy games.looks are very good.Back camera is good capturing nice pictures.Front is not like 24mp, its like 16mpDisplay is HD, But beware of the glass, my mobile screen broken as it was felldown from knee height. So better use the tampered glass.Cons:speaker is not upto the markEarphones provided are not of noise cancellation.Front cam they said its 24mp but it works like 16mpEven on full brightness, you cannot see the display in the mobile.Battery is not sufficient for 4gb ramPoor display glass quality, mobile screen damaged as it felt down just from my knee height.Strucks a lot while surfing internet even 2.5gb ram is free	3
47	All k but price high	4
48	Over heating & battery draining quickly	1
49	Excellent	5
50	Stock android  5/5Camera  4.5/5Battery.  3.5/5Performance 4/5	5
51	goodREAD MORE	4
52	Picture quality is good, battery life not bad	4
53	Only the problem are there is no earphones jack, No Slide notification gesture and cant use SD Card in it. Expecting that this will get us in Mi A3	4
54	It's all-rounder	5
55	Phone is Okay not good. Camera quality not good in which auto focus not work all time and 13mp camera not give that picture quality which I expect. Face lock not work properly. But screen resolution is awesome. Only one thing is awesome in phone that is screen resoultion. Lake of fingerprint sensor phone is not completed. Charger is very slow ,Other wise phone is okay.	3
56	Screen problem 'show doted in screen small size	5
57	It's a very nice phone to hold in hand if you don't want a glass back. The only downside is that it does not support two 4g sims simultaneously	5
58	Super batteryCamera good	4
59	Phone are decent for regular useover all its good 😊but #AREMEX Courier diluvery service is worst service i ever seen	4
60	Good phone this price	5
61	Awseome features	5
62	Pros1.excellent look2.best audio3.long standing battery life4.smooth screen5.back camera is goodCorns1.Average front camera2.Full screen display could have been better	4
63	Good picture quality, sound quality, camera, and all performance. OS is too easy then realme 2pro. screen size is too large thats looking so beautyfull....	5
64	Not to good what I expect	1
65	Worthy product	4
66	The product is amzing .The picture quality is better enough also the battery life is superb.Overall and finally the redmi 6pro is OSM mobile.	5
67	If you're not a hard core MIUI fan I won't recommend this phone to anyone.Disappointed with its worst performance in departments like processor performance & camera quality.Both these departments are utter failure for these phones even after MIUI 10 update.	1
68	Great	5
69	Picture quality is excellentNo hang problemCamera good but not excellentBattery life excellentOverall good phone under 11k	5
70	It's very great	5
71	Picture quality is awesome.sound from head phone jack is average.battery backup is medium	4
72	great phone at this price	5
73	Bettery 3750 mah, I think 4500 mah is the bestOtherwise is outstanding..	5
74	Heating issue, sd card detect issue battery backup issue and many more... Refund process is not customer friendly and product is not worth	1
75	Its design is.  Beautiful	3
76	Good phone in the price range. Hope performance is also good.	2
77	Battery backup is poor. Fast drain battery%	5
78	Superb job by XiaomiHandy phone. Not huge size not slippery.Better battery display processing speed. Overall its the best phone.	5
79	Works perfectly fine for what all a phone is meant to do.Although MIUI 10 is the worst of all mi OS till date.Hope future updates will give a simpler, cleaner usage.	4
80	Great budget phone.... display, speed, battery everything is just awesome	5
81	Good product...	4
82	Good Quality with Optimal Price	5
83	Sup up model in MI thank u .. low price best features available	5
84	Nice	5
85	Dear friends, Don't buy this mobile, very worst phone, not ever I seen in Mi. When I am in call automatically screen open and go some where, some time go airplane mode. Brightness also very bad. Batterry life not good. Clock not work properly. Network issue also there.	1
86	Phone was excellentIn this price range,And compact size with full vision technology....display was very brighter with compare to other brand....Camera was awesome and selfie camera also.,	5
87	Good phone but not fast charging very bad charging very slow but battery backup good  1.good display2.toch feel good3.good designed4.good audio speaker5.good call connectivity6.good cameras frount&backBad1.charged time 2.30 hours2.call recording not available But very cost 15000 is correct price	5
88	Awesome phone!!!!Purchased second time :)Thanks to Amazon and Xiaomi.	5
89	Excellent phone with amazing features. Good battery backup and camera quality.	5
90	Awesome product by Mi, cheap in price but best in quality	5
91	Camera issue	1
92	Good phone	5
93	Very good product	4
94	Nice one , best phone under 15 k	4
95	Absolutely stunning and reliable performance. No complaints... Only one.. Not slated for emui 9 update as yet	5
96	Do hi Eddie	5
97	Very good	5
98	Lagging in pattern un-lock, full Battery charging time is upto 5.30hrs. Seriously i want replacement for this product. Dual camera logo not visible, doubtful that does it really have dual camera, sometimes screen display is not working	3
99	Good phone and good looking	5
100	Full vision display is great	5
101	Nice product	5
102	Awesomely awesome product.	5
103	Cute phone....	5
104	Premium look	5
105	Awesome babe budget phone	5
106	I observe two problem on this mobile.1 There is no audio jack we have to use c type jack.2 Battery should be 35000+ mAh.	4
107	Good mobile in tis price segment.Design is awesome and Looks very slim with full screen display.Overall Performance is good.Front cam quality is very good.Clear voice quality.Face unlock works very perfect and Google assistant works with very sensitive.Also the negative things areBattery backup 3000 mah not sufficient it shld be more than tis.Given earphone and charger cable quality is not good.	4
108	This one is lot heavier then other phone.Else is fine	4
109	good item	5
110	Over all nice phone and good camera and long bettery life so product very nice this price range ok buy it	5
111	Its a very good phone in this range. Display quality is nice. Happy with my new phone.Happy Puja	5
112	Positives - Notch Display/FHD+ display/4000 mAh batteryNegatives - Camera/Phone hangs in between	4
113	This mobile definitely gives you iphone look alike .battery is good plus it has split screen.But if you are looking for a good camera then go for Miy2 it has very good camera .	3
114	Very nice	5
115	Phone is superb. Display, camera, looking good	5
116	Hi Friends.Mobile looking very Nice.Picture Quality.Display resolution also very well.Ram Management also... OK. (NOT great)User Interface is Good.Average Battery Life.Camera.I expected more than Mi A1. But Honor 8x giving a below average pictures.. Only 2x Zoom is there but if u zoom 2x there  blur in picture. Specifications shows 20mp + 2mp but this mobile performance is like below 10 mp single camera. If you are a camera Lover better don't buy this.Sound QualityVery Low out put.Better think twice before purchase.	3
117	after doing diploma in Mobile Comparison coz spend two month to finalize a set for me, that's what i findGOOD24 mp excellent selfie camvery handy in size, small size big screengood performancelight weight only 145 gm (not bulky/big as other like 5 pro/v9/f7 etc)luxury phone in this price segmentnotch screen, glass finishclear display, touch respond fastfast unlocking, clear voiceAVERAGEbattery 3000 mah, should be 3500+16+2 mp rear cam is little dullBADno gorilla glass or temperedhybrid simearphone qualityand could not find CALL RECORDING, if somebody know plz let me knowOverALLunmatched in segment,hard to pronounce name Huawei sound luxury for relative	4
118	Very good camera.. good build quality.. superb screen..sad about absence of finger print sensor.. overall fills good in ✋..	4
119	Good phone ...but camera is normal.	4
120	Value for money, even though the battery is discharging faster and average audio out put from earphone 🎧	3
121	Awsm quality mobile in dis low cost.. I got it in just 17 camera quality best I m very happy to purchase dis full paisa vasul type mobile	4
122	Very very very bad battery	1
123	4Delightful	4
124	Good mobile in less price but still using the older processor compare with other mobile devices. If they use the latest processor then that would be much appreciated	5
125	The camera quality is great with manual settings it gives great pictures. Sound is also good and audible. Only problem is battery life, that's miserable. If that's addressed it is quite good phone in this price range.	3
126	Quality of the mobile is Xlent	5
127	"Full vision display in 5.5"" single hand usage is just cool in LG Q6."	5
128	Just awesome performance......everything under budget 11000/-	5
129	Best product	5
130	Very nice..picture and sound quality Battery backup in this price i i i i i i i i i i	5
131	Pros:+ Dual SIM Slot with Dedicated micro SD Slot.+ Crystal clear 5.5 1080p full HD + Full Vision Display.+ The frame is Made of 7000-grade Aluminium.+ Face recognition/ KnockCode for Unlocking the phone.+ OTG Cable is supported.+ NFC is supported by the device.+ Built on Military standard 810G certification.Cons:- The under-powered processor for multitasking or heavy Gaming.- No Type-C USB Slot.- The battery is non-removable.- The Camera especially Secondary is not up to the mark.- Speaker located at the back with mediocre sound.- It is disappointing to see the mid-range phone without fingerprint scanner.Final words:LG Q6 in the market with FullVision 5.5 inches FHD display which looks incredible while holding in hands or putting them on the table. The CPU is not as expected but definitely, delivers a decent performance for day to day use.	3
132	Nice mobile.	5
133	Speaker is so badVoices are not clearCamera images are fake	2
134	Not worth the price. Wrong choice.	3
135	Good Quality Phone	4
136	Another Nice Product From Honor (Huawei)A Very Good Value For Money Product	5
